X,Y
0.22671968468237477,-0.06537293009872897
-0.12823647835760954,-0.09577910914967987
-0.14651268204412823,-0.06544997115249687
-0.15717849314967083,-0.028535041188219874
-0.1540463604249147,0.008896354209822356
-0.130869049450006,0.04606798789095573
-0.09389837192204897,0.08369332070361833
-0.040601873681337074,0.11808111620322254
0.0313462922405536,0.15526153062068787
0.17520705861883576,0.03899864339373265
0.10535167599990176,0.02776071721279144
0.10346781600536377,-0.0011562097384682976
0.08464536272897867,-0.002271581128108976
0.08304962689636727,-0.02847381084296776
0.0903174449372511,-0.04962246671457244
0.007604767256468538,-0.06690823653668923
0.0003414239293353849,0.02772986511809431
0.15960256286788932,-0.07904837266525955
0.08816006371565081,-0.0969372760617528
0.01652386144876248,-0.11530983323836039
-0.05604425906257943,-0.11844288495341287
0.20170629691932693,-0.051789720064848735
0.17542760148626954,-0.0501367395280527
0.1478549486161379,-0.050218157645555574
0.1199558571006172,-0.05026849559644336
-0.14015565492671653,-0.08502714939321648
-0.15523724673579556,-0.04823489872543988
-0.11534916038316409,-0.07243561335508814
-0.08463874592410493,-0.08112287202611673
-0.05309226037403083,-0.08617119827726005
-0.025082076436551824,-0.08633481509615086
-0.15930564731341812,-0.007931326647948501
-0.12523108943682573,-0.03694014723325986
-0.09228740431959506,-0.04489096716286362
-0.05985664589690462,-0.05075413366078849
-0.030013606984720394,-0.05415011002314875
-0.1448779930947563,0.033959855374698845
-0.10785336028734976,-0.0037517835056096105
-0.06009842001135671,-0.013695908651119304
-0.012262871396140067,-0.019686126597833503
0.03598906387685416,-0.024702722140316196
-0.11420085486541626,0.07101425675950297
-0.10509334048960066,0.03681103623036235
-0.07907047871937853,0.030646112932725574
-0.052785589066455335,0.025167632726977824
-0.0274722777453996,0.0218927165663948
-0.06959055654243192,0.10750473811901842
-0.07400213542550639,0.07383361699451904
-0.05568340140437763,0.06926118040808832
-0.03695600989564751,0.06245004947378105
-0.018876920242594398,0.052684157325267836
-0.007134332206688848,0.13743201838187338
-0.01167302815880223,0.09723397046791785
0.017768651525570178,0.08034419960625085
0.04743373376510155,0.06271568407986895
0.07628168296441339,0.04503175924103397
0.05931503125792269,0.12631325335077817
0.08948225321845543,0.10517040251768706
0.11937040325794798,0.08458488220733122
0.14792851139982963,0.06324483586327999
0.14158168782013053,0.026092282517451125
0.06808553795788728,0.0030987533057846768
0.051883974310415644,0.008576793928654649
0.035107625885955944,0.014691921556361065
0.018048043666872474,0.021498038173517486
0.07451596159002863,-0.05545630265280382
0.0590191732662359,-0.059404925428841855
0.042462540326144,-0.06260500205178729
0.025252438758051114,-0.06515199251188708
