X,Y
0.39824563759252146,-0.12269566320122142
-0.2317163724674488,-0.18364135015892943
-0.2647631428031684,-0.13007816412186726
-0.2843974253142443,-0.06466074490968977
-0.2795339246397616,0.0019347497695758067
-0.23903657685281263,0.06847942079423788
-0.1740529842226457,0.13608187298343302
-0.0800393677785341,0.19823817919088588
0.0470277595678641,0.2657498696589878
0.30463591930229733,0.06198364602372644
0.18069423325675774,0.04064276542543188
0.17789934688878847,-0.01080030863501593
0.14449017693861305,-0.013139967473992743
0.14213248159523847,-0.059763773054536694
0.15542237530509942,-0.09721153054747614
0.008762744911357966,-0.12958572180071887
-0.005770881279922199,0.03846672005716974
