1,13,14
13,14,15
14,15,16
15,16,17
16,17,3
1,18,19
18,19,20
19,20,12
2,21,22
21,22,23
22,23,3
3,24,25
24,25,26
25,26,4
4,27,28
27,28,29
28,29,5
4,30,31
30,31,32
31,32,33
32,33,34
33,34,1
5,35,6
5,36,37
36,37,38
37,38,39
38,39,40
39,40,41
40,41,42
41,42,43
42,43,12
6,44,45
44,45,46
45,46,7
7,47,48
47,48,49
48,49,8
7,50,51
50,51,52
51,52,53
52,53,54
53,54,55
54,55,56
55,56,57
56,57,11
8,58,59
58,59,60
59,60,9
8,61,62
61,62,63
62,63,64
63,64,65
64,65,66
65,66,67
66,67,68
67,68,11
9,69,70
69,70,71
70,71,10
